N,Pozv_Structura,Kol-vo,Power,Name_Ru,Q_Rus,EOB
29,C1C6C7. T1T2T3T4T5T6. L4L5. S(S1),12,48%,Первый снег,Умение  быть готовым к неожиданным жизненным ситуациям.,ЛРФБ
30,C3C4. T12. L1,5,20%,Петербургские зонтики,"Умение управлять своим миром, чтобы им не управлял кто-то другой.",ЛРФБ
31,C4. L2L3L4L5,6,24%,Подводный Мир,Умение найти место в хаосе жизни.,ЛРФБ
32,T3T4T5T6T7T8T9T10. L4L5. S ( S1),11,44%,Подсолнухи на столе,Умение быть готовым к принятию новых идей.,ЛРЗДСМ
33,"C1C2,C5C6C7. T1T2T3T4T5T6T8T9T10T11T12 L1.S(S1)",18,72%,Поезд в горах,Умение быть уверенным и активно убеждать в своих фантастических идеях.,ЛРЗДСМФБ
34,C4C5C6. T3T4T5. L5. S (S1S2),8,32%,Полет попугая на джунглями,Умение ограничивать излишнюю болтливость.,ЛРФБ
35,C5C6. T3T4T5T6T7T8T9T10 L4L5. S (S1),13,52%,Подсолнухи на даче,Умение  создать оригинальный образ жизни.,ЛРСМФБ
36,C1C2. L1L2L3L4,7,28%,Пустыня,Умение  идти постепенно и стабильно по жизни.,ЛРЗД
37,T9T10T11T12. L1L2L3L4L5.S (S1),10,40%,Роза и Янтарь,Умение совместить в себе молодость и опытность жизни.,ЗДСМ
38,C1C2. T3T4. L5. S (S1),6,24%,Ромашки в поле,Умение собирать энергию творческого потенциала в период застоя.,ЛРЗД
39,T4T5T6T7T8T9. L3L4L5.S ( S1S2),10,40%,Сияющая Роза,Умение активизировать свою сакральную истину.,ЗД
40,C1C2. T10T11T12. L1L2L4L5.S (S1S2S3),10,40%,Солнечная Дорожка,Умение выстраивать отношения между мужчиной и женщиной.,СМ
41,C6C7. T1T2T6T7T8T9T10T11T12,12,48%,Старая Мельница,Умение принятия здравых консервативных идей.,ЛРСМФБ
42,C6C7. T1T2T3T4T5T6. L2L3L4L5. S1,13,52%,Старый Замок,Умение увидеть мечты в реальной жизни.,СМФБ
43,L4L5. S (S1S2S3S4S5) ,3,12%,Теплый Вечер,Умение ограничивать конфликт между мужским и женским началом.,ЗД
44,C6C7. T1T2Y3T4T5T6T7T8T9T10T11T12 L1L2L3,18,72%,Течение Времени,"Умение осуществлять диалог между прошлыми, реальными и будущими событиями жизни.",ЛРСМ
45,C3C4C5    T2T3T4T5T6T7T8T9T10. L3L4. S ( S1S3),15,60%,Цветы в Стеклянной Вазе,Умение адекватно вмешиваться в жизнь других людей.,ЛРЗД
46,C1C2.  T3T4T5T6T7T8T9T10  L3L4L5. S ( S1),14,56%,Цветы и водопад,"Умение дозировать поток эмоций, чтобы не нарушить тонкий мир человеческих отношений.",СМФБ
47,C1C2C3C4C5C6C7   T7T8T9. L4L5. S  (S1S2S3),13,52%,Энергия Исаакиевского Собора,Умение делегировать полномочия.,ЛР
48,C1C2C3C4C5C6C7. T3T7T8T9  L1L4L5. S (S1S2),15,60%,Южный город,"Умение понимать, что  жизнь всегда будет сложная, что нет мест где-то лучше и без  трудностей!",ЛРФБ
49,T3T4T5T6.     L2L3L4L5.  S (S1S2S3),9,36%,Незнакомка,Умение детально планировать будущее.,СМ
